Financial Year,Inflation,Population,Consumption,Disasters,(in $) Oil Price Nminal,Oil Price Inflation Adjusted,M1 (Narrow money),M3 (Broad Money),CO2 Emission,Exports,Imports,GDP Previous,Gross Domestic Product (in Rs. Cr) at 2004-05 Prices,Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices,Agriculture (in Rs. Cr.) at 2004-05 Prices,Industry (in Rs. Cr.) at 2004-05 Prices,Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices,Manufacturing (in Rs. Cr.) at 2004-05 Prices,Services (in Rs. Cr.) at 2004-05 Prices
1980,9.09,697229745,74.863,0,37.42,109.51,1.346182,0.8451257,0.4503769572,6711,12549,745083,798506,285015,238102,204861,20891,111376,300614
1981,12.73,713561406,70.629,0,35.75,94.83,1.56637,1.000408,0.4748549055,7806,13608,798506,843426,298130,249645,221264,23745,120475,316225
1982,8.05,730303461,69.383,1,31.83,79.5,1.726676,1.140061,0.4787563906,8803,14293,843426,868092,297293,249296,224402,26569,124436,338781
1983,12.46,747374856,71.38,1,29.08,70.34,1.964588,1.335369,0.506665544,9771,15831,868092,936270,327382,276104,242075,27338,137168,358157
1984,5.19,764664278,68.996,1,28.75,66.67,2.305378,1.576854,0.507567776,11744,17134,936270,973357,332571,280200,251942,27658,142940,380009
1985,7.14,782085127,67.391,2,26.92,60.27,2.663298,1.849351,0.5455592624,10895,19658,973357,1013866,333616,280747,262985,29167,147496,409162
1986,9.21,799607235,66.193,1,14.44,31.72,3.011783,2.163024,0.5722458564,12452,20096,1013866,1057612,332250,279649,278124,32739,155600,440226
1987,9.31,817232241,66.21,1,17.75,37.62,3.484306,2.549906,0.5977261365,15674,22244,1057612,1094993,326975,274820,293615,33974,164314,468201
1988,8.79,834944397,65.359,2,14.87,30.33,3.992097,2.978366,0.6318551965,20232,28235,1094993,1206243,378113,321114,320331,39468,178275,500724
1989,5.42,852736160,65.054,1,18.33,35.6,4.717677,3.53605,0.6790005234,27658,35328,1206243,1280228,382609,322384,346926,42466,194033,545183
1990,13.71,870601776,64.606,2,23.19,42.62,5.628168,4.163607,0.7111800505,32553,43198,1280228,1347889,397971,336176,372360,46909,203295,573465
1991,13.07,888513869,65.865,1,20.2,35.73,6.579693,4.832215,0.7407760902,44041,47851,1347889,1367171,390201,328407,373634,48484,198419,600366
1992,8,906461358,65.021,1,19.25,33.04,7.926031,5.75118,0.7712274493,53688,63375,1367171,1440504,416153,351584,385647,48931,204551,634549
1993,8.64,924475633,67.134,2,16.75,27.94,8.679264,6.615051,0.7828190297,69751,73101,1440504,1522344,429981,362764,406848,49611,222124,681351
1994,9.47,942604211,66.135,0,15.66,25.44,10.69586,7.892856,0.8112958112,82674,89971,1522344,1619694,450258,379959,444122,54219,246161,721140
1995,9.69,960874982,64.028,1,16.75,26.48,12.87491,9.241396,0.8446073841,106353,122678,1619694,1737741,447127,376243,494262,57400,284221,794041
1996,10.41,979290432,68.22,2,20.46,31.4,14.41168,10.68248,0.9009831764,118817,138920,1737741,1876319,491484,415377,525864,57718,311226,853843
1997,6.29,997817250,65.113,1,18.64,27.98,16.20877,12.4895,0.9196925439,130100,154176,1876319,1957032,478933,403030,546966,63380,311385,930089
1998,15.32,1016160361,65.603,1,11.91,17.6,18.09129,14.8657,0.9211128417,139752,178332,1957032,2087828,509203,431719,569656,65171,321137,1007138
1999,0.47,1034565817,62.259,2,16.56,23.89,20.74571,17.57993,0.9621149802,159561,215236,2087828,2246276,522795,442113,603631,67902,338458,1119850
2000,3.48,1053481072,64.219,0,27.39,38.29,23.34887,20.36513,0.9794703393,203571,230873,2246276,2342774,522755,439432,640043,69472,363163,1179976
2001,5.16,1071801941,62.928,1,23,31.3,25.95613,23.77253,0.9713260998,209018,245200,2342774,2472052,554157,467815,656737,70766,371408,1261158
2002,3.2,1090314925,64.104,0,22.81,30.52,28.9457,27.50033,0.9670419412,255137,297206,2472052,2570690,517559,429752,704095,76721,396912,1349035
2003,3.72,1108827910,63.116,0,27.69,36.26,32.94973,31.11191,0.992085712,293367,359108,2570690,2777813,564391,476324,755625,78792,422062,1457797
2004,3.78,1127340895,58.366,1,37.66,47.98,38.82572,35.59016,1.024769587,375340,501065,2777813,2971464,565426,476634,829783,85028,453225,1576255
2005,5.57,1144326293,57.591,2,50.04,61.65,45.35086,40.84675,1.068369345,456418,660409,2971464,3253073,594487,502996,910413,86141,499020,1748173
2006,6.53,1163144795,56.96,0,58.3,69.64,55.02471,48.49006,1.121874735,571779,840506,3253073,3564364,619190,523745,1021204,92578,570458,1923970
2007,5.51,1181352262,51.66,0,64.2,74.44,63.66491,59.0039,1.193205418,655864,1012312,3564364,3896636,655080,556956,1119995,95997,629073,2121561
2008,9.7,1199559730,56.369,2,91.48,102,74.54766,71.64302,1.310181881,840755,1374436,3896636,4158676,655689,555442,1169736,98055,656302,2333251
2009,14.97,1217767197,53.314,2,53.48,59.93,84.54317,86.00798,1.43194797,845534,1363736,4158676,4516071,660987,557715,1276919,103830,730435,2578165
2010,9.47,1230984504,52.707,1,71.21,78.65,100,100,1.397004578,1142922,1683467,4516071,4937006,713477,606848,1393879,108938,801476,2829650
2011,6.49,1251243321,55.88,4,87.04,93.21,107.7039,116.5725,1.480435644,1465959,2345463,4937006,5243582,739495,630540,1442498,108249,823023,3061589
2012,11.17,1268894306,57.774,3,86.46,90.72,117.3674,132.5848,1.597436189,1166439,1967522,5243582,5503476,752746,656243,1487533,108713,838541,3263196
